latitude,longitude,total_forecasts,total_busts,bust_frequency
37.0,69.0,50,3,0.06
37.0,70.0,50,8,0.16
37.0,71.0,50,3,0.06
37.0,72.0,50,3,0.06
37.0,73.0,50,9,0.18
37.0,74.0,50,1,0.02
37.0,75.0,50,8,0.16
37.0,76.0,50,4,0.08
37.0,77.0,50,4,0.08
37.0,78.0,50,2,0.04
37.0,79.0,50,6,0.12
37.0,80.0,50,5,0.1
37.0,81.0,50,6,0.12
37.0,82.0,50,4,0.08
37.0,83.0,50,8,0.16
37.0,84.0,50,5,0.1
37.0,85.0,50,9,0.18
37.0,86.0,50,5,0.1
37.0,87.0,50,10,0.2
37.0,88.0,50,4,0.08
37.0,89.0,50,8,0.16
37.0,90.0,50,7,0.14
37.0,91.0,50,6,0.12
37.0,92.0,50,6,0.12
37.0,93.0,50,4,0.08
37.0,94.0,50,4,0.08
37.0,95.0,50,3,0.06
37.0,96.0,50,6,0.12
37.0,97.0,50,3,0.06
